,Survived,Pclass,Sex,Age,Fare,Embarked,num_mems
0,0,3,0,5,1,0,1
1,0,3,1,7,1,1,2
2,0,2,0,9,1,0,1
3,0,3,0,4,1,1,1
4,1,3,1,3,1,1,3
5,0,3,0,2,1,1,1
6,0,3,1,4,1,0,1
7,0,2,0,4,1,1,3
8,1,3,1,3,1,2,1
9,1,3,0,3,1,1,3
10,0,3,0,4,1,1,1
11,1,1,0,7,1,1,1
12,1,1,1,4,2,1,2
13,0,2,0,9,1,1,2
14,1,1,1,7,2,1,2
15,1,2,1,4,1,2,2
16,0,2,0,5,1,0,1
17,0,3,0,3,1,2,1
18,0,3,1,4,1,1,2
19,0,3,1,6,1,2,1
20,1,1,0,8,2,2,2
21,1,3,0,2,1,1,2
22,1,1,1,4,1,1,1
23,0,1,0,3,2,2,2
24,1,1,1,7,6,2,5
25,0,3,0,7,1,1,2
26,1,1,1,3,2,2,2
27,0,3,0,3,1,2,1
28,0,1,0,6,1,1,1
29,1,3,0,4,1,2,3
30,0,2,0,7,1,1,2
31,0,2,0,4,1,1,3
32,1,3,1,5,1,1,4
33,0,3,1,4,1,1,4
34,1,1,0,4,2,2,2
35,0,3,0,3,1,2,1
36,1,3,1,4,1,1,1
37,0,3,1,3,1,1,1
38,0,3,0,4,1,1,1
39,1,3,0,4,2,1,1
40,0,3,0,6,1,2,2
41,0,1,0,4,1,1,1
42,0,3,0,6,1,1,1
43,1,2,1,4,1,1,1
44,1,1,1,6,2,1,2
45,0,3,0,4,1,1,1
46,0,1,0,6,1,2,1
47,0,3,0,4,1,0,1
48,1,1,1,8,2,2,1
49,1,3,1,5,1,1,3
50,1,1,0,4,2,1,2
51,0,2,0,4,1,2,1
52,1,2,1,3,1,1,4
53,1,1,1,4,6,1,6
54,0,2,0,4,1,2,1
55,0,3,0,2,1,0,6
56,0,3,0,5,1,1,1
57,0,3,0,4,1,1,1
58,0,3,0,4,1,1,2
59,1,1,1,5,6,2,1
60,0,3,0,3,1,1,1
61,0,2,0,5,1,1,1
62,0,3,0,3,1,1,1
63,1,3,1,3,1,0,1
64,0,1,0,2,6,2,5
